stkcod,stkdes,docdat,loccod,trnqty               ,tqucod, unitpr                 ,trnbal,newbal,
U-BLXX2015-1927,BALLOON-L2015-ฟ้าม่วง[LT.BLUE/PURPLE],31/3/2015,01 ,210,คู่, 33.81 ,7100.22,,
U-BLXX2015-2727,BALLOON-L2015-ม่วงม่วง[PURPLE/PURPLE.L],31/3/2015,01 ,204,คู่, 33.81 ,6897.36,,
U-BLXX2015-3119,BALLOON-L2015-บานเย็นฟ้า[ROSE/LT.BLUE],31/3/2015,01 ,546,คู่, 33.12 ,18083.25,,
U-BLXX2015-3125,BALLOON-L2015-บานเย็นชมพู[ROSE/PINK],31/3/2015,01 ,552,คู่, 21.25 ,11729.94,,
U-BMGX0303-1215,SPORT-MG303-ดำแดง[BLACK/RED],31/3/2015,01 ,480,คู่, 135.00 ,64800,,
U-BMGX0303-1221,SPORT-MG303-ดำเหลือง[BLACK/YELLOW],31/3/2015,01 ,432,คู่, 135.00 ,58320,,
U-BMGX0303-1222,SPORT-MG303-ดำน้ำเงิน[BLACK/DR.BLUE],31/3/2015,01 ,96,คู่, 135.00 ,12960,,
U-BMGX0303-1223,SPORT-MG303-ดำเทา[BLACK/GREY],31/3/2015,01 ,144,คู่, 135.00 ,19440,,
U-BMGX0303-1224,SPORT-MG303-ดำส้ม[BLACK/ORANGE],31/3/2015,01 ,432,คู่, 135.00 ,58320,,
U-BMJX0237-1200,FASHION-MJ237-ดำ[BLACK],31/3/2015,01 ,72,คู่, 190.00 ,13680,,
U-BMJX0238-1200,FASHION-MJ238-ดำ[BLACK],31/3/2015,01 ,84,คู่, 190.00 ,15960,,
U-BMJX0245-1200,FASHION-MJ245-ดำ[BLACK],31/3/2015,01 ,204,คู่, 190.00 ,38760,,
U-BMJX0246-1200,FASHION-MJ246-ดำ[BLACK],31/3/2015,01 ,96,คู่, 190.00 ,18240,,
U-BMJX0246-1700,FASHION-MJ246-น้ำตาล[BROWN],31/3/2015,01 ,252,คู่, 190.00 ,47880,,
U-BMJX0247-1200,FASHION-MJ247-ดำ[BLACK],31/3/2015,01 ,492,คู่, 190.00 ,93480,,
U-BMJX0249-1200,FASHION-MJ249-ดำ[BLACK],31/3/2015,01 ,300,คู่, 200.00 ,60000,,
U-BMJX0250-1200,FASHION-MJ250-ดำ[BLACK],31/3/2015,01 ,168,คู่, 200.00 ,33600,,
U-BMKX0040-1700,BAOJI-MK040-น้ำตาล[BROWN],31/3/2015,01 ,288,คู่, 180.00 ,51840,,
U-BMKX0040-2000,BAOJI-MK040-กากี[KHAKI],31/3/2015,01 ,576,คู่, 180.00 ,103680,,
U-BMKX0040-2300,BAOJI-MK040-เทา[GREY],31/3/2015,01 ,636,คู่, 180.00 ,114480,,
U-BMLX1222-1215,BALLOON-ML1222-ดำแดง[BLACK/RED],31/3/2015,01 ,228,คู่, 65.00 ,14820,,
U-BMLX1222-1222,BALLOON-ML1222-ดำน้ำเงิน[BLACK/DR.BLUE],31/3/2015,01 ,72,คู่, 65.00 ,4680,,
U-BMLX1222-1724,BALLOON-ML1222-น้ำตาลส้่ม[BROWN/ORANGE],31/3/2015,01 ,54,คู่, 65.00 ,3510,,
U-BMLX1222-1821,BALLOON-ML1222-กรมเหลือง[NAVY/YELLOW],31/3/2015,01 ,252,คู่, 65.00 ,16380,,
U-BMLX1222-1824,BALLOON-ML1222-กรมส้ม[NAVY/ORANGE],31/3/2015,01 ,282,คู่,,0,,
U-BMLX1222-2322,BALLOON-ML1222-เทาน้ำเงิน[GREY/DR.BLUE],31/3/2015,01 ,294,คู่, 9.48 ,2787.12,,
U-BMMX0802-1200,FASHION-MM802-ดำ[BLACK],31/3/2015,01 ,108,คู่, 260.00 ,28080,,
U-BMMX0802-1700,FASHION-MM802-น้ำตาล[BROWN],31/3/2015,01 ,156,คู่, 260.00 ,40560,,
U-BMMX0804-1200,FASHION-MM804-ดำ[BLACK],31/3/2015,01 ,156,คู่, 250.00 ,39000,,
U-BMMX0804-1700,FASHION-MM804-น้ำตาล[BROWN],31/3/2015,01 ,168,คู่, 250.00 ,42000,,
U-BMMX0807-1200,FASHION-MM807-ดำ[BLACK],31/3/2015,01 ,180,คู่, 260.00 ,46800,,
U-BMMX0807-1800,FASHION-MM807-กรม[NAVY],31/3/2015,01 ,168,คู่, 260.00 ,43680,,
U-BMMX0807-2000,FASHION-MM807-กากี[KHAKI],31/3/2015,01 ,180,คู่, 260.00 ,46800,,
U-BMMX0808-1200,FASHION-MM808-ดำ[BLACK],31/3/2015,01 ,168,คู่, 270.00 ,45360,,
U-BMMX0808-1700,FASHION-MM808-น้ำตาล[BROWN],31/3/2015,01 ,156,คู่, 270.00 ,42120,,
U-BMMX0809-1600,FASHION-MM809-น้ำตาลอ่อน[COFFEE],31/3/2015,01 ,11,คู่, 300.00 ,3300,,
U-BMMX0810-1200,FASHION-MM810-ดำ[BLACK],31/3/2015,01 ,168,คู่, 250.00 ,42000,,
U-BMMX0810-1600,FASHION-MM810-น้ำตาลอ่อน[COFFEE],31/3/2015,01 ,168,คู่,,0,,
U-BMMX0812-1200,FASHION-MM812-ดำ[BLACK],31/3/2015,01 ,120,คู่, 250.00 ,30000,,
U-BMMX0812-1600,FASHION-MM812-น้ำตาลอ่อน[COFFEE],31/3/2015,01 ,156,คู่, 250.00 ,39000,,
U-BMMX0812-1700,FASHION-MM812-น้ำตาล[BROWN],31/3/2015,01 ,144,คู่, 250.00 ,36000,,
U-BMMX0813-1200,FASHION-MM813-ดำ[BLACK],31/3/2015,01 ,72,คู่, 250.00 ,18000,,
U-BMMX0813-1600,FASHION-MM813-น้ำตาลอ่อน[COFFEE],31/3/2015,01 ,12,คู่, 250.00 ,3000,,
U-BMMX0814-1200,FASHION-MM814-ดำ[BLACK],31/3/2015,01 ,132,คู่, 250.00 ,33000,,
U-BMMX0814-1600,FASHION-MM814-น้ำตาลอ่อน[COFFEE],31/3/2015,01 ,120,คู่, 250.00 ,30000,,
U-BMMX0814-2100,FASHION-MM814-เหลือง[YELLOW],31/3/2015,01 ,144,คู่, 250.00 ,36000,,
U-BMMX0815-1200,FASHION-MM815-ดำ[BLACK],31/3/2015,01 ,36,คู่, 240.00 ,8640,,
